t,data
0,1.06246271547941
0.001,1.07791988036918
0.002,1.07980039108942
0.003,1.0842096880669
0.004,1.07684135991762
0.005,1.0820542647889
0.006,1.08705671832407
0.007,1.05241707269882
0.008,1.08662434952124
0.009,1.06610547726477
0.01,1.07713633530165
0.011,1.08456403322193
0.012,1.0678412607621
0.013,1.07928198136001
0.014,1.07984914180244
0.015,1.07162531907006
0.016,1.06966093629705
0.017,1.06316330114407
0.018,1.08605490659633
0.019,1.07571077106444
0.02,1.07719513110053
0.021,1.07182205389337
0.022,1.09072136620103
0.023,1.05957649782973
0.024,1.06126228339502
0.025,1.08715142072582
0.026,1.06054063249337
0.027,1.05775211423382
0.028,1.0830384020112
0.029,1.0808155167859
0.03,1.07409966108376
0.031,1.06792928807924
0.032,1.06560868926937
0.033,1.06773554810294
0.034,1.07448772991914
0.035,1.08038400689983
0.036,1.06937416912418
0.037,1.0589583506302
0.038,1.07526679240296
0.039,1.0676514276768
0.04,1.07811989870155
0.041,1.05297656172841
0.042,1.06684419949471
0.043,1.07989489317879
0.044,1.06533477492446
0.045,1.08929409629348
0.046,1.08245276027748
0.047,1.06672864069181
0.048,1.0761163217342
0.049,1.07464736047042
0.05,1.06167703790337
0.051,1.07667985559341
0.052,1.0790949967362
0.053,1.08752072949791
0.054,1.08480601222403
0.055,1.05786653711593
0.056,1.08042758157907
0.057,1.08642887015394
0.058,1.07034913345686
0.059,1.06707977213182
0.06,1.07902575468072
0.061,1.07248133486165
0.062,1.07065355002869
0.063,1.07167957371986
0.064,1.07050052873886
0.065,1.05395930749126
0.066,1.06416754167185
0.067,1.07940633750587
0.068,1.0751986218565
0.069,1.08276821473291
0.07,1.05267692596023
0.071,1.09207250047004
0.072,1.06417323257962
0.073,1.08010543358135
0.074,1.07187696397883
0.075,1.07246181617711
0.076,1.08817209685608
0.077,1.07653175452248
0.078,1.07366294765042
0.079,1.0521496933448
0.08,1.07231954979629
0.081,1.06218491658494
0.082,1.07167406780882
0.083,1.06454237904517
0.084,1.07873936562388
0.085,1.07253391022916
0.086,1.06181473918103
0.087,1.0705636004066
0.088,1.07830362596584
0.089,1.0719784120719
0.09,1.06532591220487
0.091,1.0803279240595
0.092,1.07895886616978
0.093,1.06719598838525
0.094,1.07332930124003
0.095,1.06990956976366
0.096,1.06567814342897
0.097,1.06664715305072
0.098,1.05478892257031
0.099,1.07886884502849
0.1,1.10363750334794
0.101,1.07813990320476
0.102,1.08214922937268
0.103,1.08951143763927
0.104,1.06329551490846
0.105,1.06892713666628
0.106,1.05537081021013
0.107,1.08255808471205
0.108,1.06898953637578
0.109,1.07444678741047
0.11,1.05326382058827
0.111,1.08946378688152
0.112,1.08281173567723
0.113,1.07013234735923
0.114,1.10367947550163
0.115,1.0613149020347
0.116,1.06187919712475
0.117,1.08258581291998
0.118,1.08393535216988
0.119,1.06948924826293
0.12,1.0717079605812
0.121,1.07056950966027
0.122,1.06919490497339
0.123,1.07148353662657
0.124,1.07275419254617
0.125,1.08200010588894
0.126,1.08448446884867
0.127,1.0774222219367
0.128,1.07600283272838
0.129,1.06803846468943
0.13,1.06091277869277
0.131,1.07319911412269
0.132,1.0658263012662
0.133,1.06073577898367
0.134,1.08785102552772
0.135,1.0791370607408
0.136,1.09341570640628
0.137,1.08684754765804
0.138,1.06741811301061
0.139,1.06153242364849
0.14,1.06352243544004
0.141,1.06741885766199
0.142,1.05931181741195
0.143,1.07560063756543
0.144,1.0639059371315
0.145,1.06131537153172
0.146,1.07809171832976
0.147,1.07928656302289
0.148,1.07644590317403
0.149,1.08479523402687
0.15,1.07858028451474
0.151,1.07689216865811
0.152,1.06342756735668
0.153,1.06232069085534
0.154,1.07062844870105
0.155,1.08064922724148
0.156,1.07628592672488
0.157,1.0793722671448
0.158,1.07488654494618
0.159,1.08685934809221
0.16,1.06094839398792
0.161,1.10548119128637
0.162,1.07589510755087
0.163,1.06599676801919
0.164,1.06965822834136
0.165,1.04536341259938
0.166,1.08405908062045
0.167,1.07956839943433
0.168,1.07830996570869
0.169,1.09366473191625
0.17,1.08269861973819
0.171,1.0943054865623
0.172,1.08015947564615
0.173,1.08469069033287
0.174,1.08931202928958
0.175,1.08445588251869
0.176,1.07211906882067
0.177,1.07651509718449
0.178,1.06885488790446
0.179,1.06770596548377
0.18,1.06228788383073
0.181,1.07198563009148
0.182,1.07615043775683
0.183,1.05843769218629
0.184,1.07667904833961
0.185,1.07667777895012
0.186,1.07671012794286
0.187,1.08048493057864
0.188,1.05985936169587
0.189,1.05989954177055
0.19,1.08087900333157
0.191,1.0593159536062
0.192,1.07444720811302
0.193,1.07830648627901
0.194,1.06900849820075
0.195,1.06945896569011
0.196,1.09123977191772
0.197,1.06303735474989
0.198,1.08602687986536
0.199,1.08543881631255
0.2,1.06307031817369
0.201,1.06128526924033
0.202,1.08118210347257
0.203,1.06559565283989
0.204,1.07911294857063
0.205,1.07312162611973
0.206,1.08641247988665
0.207,1.08585397761385
0.208,1.07620260805494
0.209,1.08780681881984
0.21,1.06876389014839
0.211,1.0851011398744
0.212,1.05738120827466
0.213,1.07862854732745
0.214,1.07325861056695
0.215,1.07938132886526
0.216,1.07696524025238
0.217,1.07198660827973
0.218,1.06195609745589
0.219,1.06905232195351
0.22,1.0683626155872
0.221,1.06887801148184
0.222,1.07285318754298
0.223,1.07262909506355
0.224,1.06819732842147
0.225,1.08872149152261
0.226,1.06919866559471
0.227,1.06132185314861
0.228,1.07303303694234
0.229,1.09365533702748
0.23,1.05516311764483
0.231,1.06726938366022
0.232,1.0672237236176
0.233,1.0553064345817
0.234,1.06919771430364
0.235,1.07828463984406
0.236,1.09117375431323
0.237,1.07139514750906
0.238,1.07302175778231
0.239,1.08550842658694
0.24,1.07673772117667
0.241,1.07811150796792
0.242,1.07114189815511
0.243,1.09535729414223
0.244,1.09285452490765
0.245,1.0631526729772
0.246,1.07273996622827
0.247,1.07240807575311
0.248,1.08463732390185
0.249,1.06970125470276
0.25,1.08164003655093
0.251,1.06193181637956
0.252,1.07571214817159
0.253,1.07903160631241
0.254,1.06208633144423
0.255,1.07043203757355
0.256,1.0844867052984
0.257,1.09614347818359
0.258,1.07928636682783
0.259,1.07690640357435
0.26,1.08904431841648
0.261,1.07839129094953
0.262,1.06661754440107
0.263,1.07346992287683
0.264,1.0638199276318
0.265,1.07949477995673
0.266,1.08093672263417
0.267,1.06886505349454
0.268,1.06748310522162
0.269,1.08585836519131
0.27,1.05308054675859
0.271,1.08389116205626
0.272,1.06777475483384
0.273,1.09286319218761
0.274,1.08140655049968
0.275,1.06478532060397
0.276,1.06583243777285
0.277,1.08320359858526
0.278,1.0619483658169
0.279,1.07797528889152
0.28,1.0751759700512
0.281,1.06264009119484
0.282,1.08164293354842
0.283,1.07294697625013
0.284,1.07470429122833
0.285,1.07450959017655
0.286,1.0824545150028
0.287,1.0728201398864
0.288,1.08414981217521
0.289,1.06303020145834
0.29,1.07495978510498
0.291,1.06417455355516
0.292,1.06067911818074
0.293,1.0815419310907
0.294,1.09452962394117
0.295,1.07864865081092
0.296,1.06999173758297
0.297,1.07700806031497
0.298,1.07382524853797
0.299,1.08792043754746
0.3,1.0803739095102
0.301,1.07681441504848
0.302,1.08621443827507
0.303,1.09188199495917
0.304,1.07804089015361
0.305,1.0684314646516
0.306,1.0897645308846
0.307,1.07675485239401
0.308,1.08207389265811
0.309,1.08522666801321
0.31,1.06991335271752
0.311,1.06182683219491
0.312,1.07239156658282
0.313,1.0911471359848
0.314,1.07185699133963
0.315,1.07318831528895
0.316,1.06596894803095
0.317,1.08441988684114
0.318,1.07317091129615
0.319,1.06534972570729
0.32,1.07408151520575
0.321,1.05620643050812
0.322,1.07001649216435
0.323,1.07576788440564
0.324,1.07454029258584
0.325,1.0846436758255
0.326,1.06249133026632
0.327,1.07531223197106
0.328,1.08026744593605
0.329,1.07845875464794
0.33,1.0795241738496
0.331,1.07812774527561
0.332,1.07655910043389
0.333,1.06091619354282
0.334,1.07348151534875
0.335,1.07488653238872
0.336,1.08498912603358
0.337,1.07548376229846
0.338,1.06878774171405
0.339,1.07431541365914
0.34,1.06775782928093
0.341,1.07679431668639
0.342,1.07139123767268
0.343,1.07581199118528
0.344,1.08093976230044
0.345,1.06137525112723
0.346,1.07260712950249
0.347,1.06541310510727
0.348,1.07581956400404
0.349,1.07711654178747
0.35,1.07190860483285
0.351,1.0894025748663
0.352,1.08267355461115
0.353,1.08778029117283
0.354,1.08477916559294
0.355,1.0934695747893
0.356,1.08054113231473
0.357,1.08121625225433
0.358,1.07135368413014
0.359,1.06113369279283
0.36,1.06950983604948
0.361,1.07886622017225
0.362,1.08355418614413
0.363,1.06723145523581
0.364,1.05506908499891
0.365,1.07989861054874
0.366,1.08333724781703
0.367,1.06941594621514
0.368,1.08368695004577
0.369,1.07264085481246
0.37,1.07978901488816
0.371,1.07727422922734
0.372,1.07002288611905
0.373,1.06571059578197
0.374,1.06828799469184
0.375,1.08981898556742
0.376,1.06198808875025
0.377,1.0806849321105
0.378,1.07158642889758
0.379,1.07564153460701
0.38,1.06803823539996
0.381,1.08429139136613
0.382,1.07202455114133
0.383,1.07013159786804
0.384,1.06720484108977
0.385,1.07416878831367
0.386,1.0801151111193
0.387,1.07458594507397
0.388,1.09105737752861
0.389,1.07461320982975
0.39,1.06575004904072
0.391,1.06479118507481
0.392,1.07725367422639
0.393,1.08758794541964
0.394,1.07830015889504
0.395,1.0775623243735
0.396,1.07727507813792
0.397,1.07688732434491
0.398,1.06661205994616
0.399,1.0699128676512
0.4,1.07813434843475
0.401,1.09458025474641
0.402,1.08472973238327
0.403,1.08551958904051
0.404,1.08241897139729
0.405,1.06090978593982
0.406,1.08665737001153
0.407,1.04771024243229
0.408,1.07152457232026
0.409,1.08101614091168
0.41,1.07691877294191
0.411,1.0799007527138
0.412,1.06471243742357
0.413,1.06374094821829
0.414,1.07497523739606
0.415,1.07109206409234
0.416,1.06335468121265
0.417,1.06674470066038
0.418,1.07650983321932
0.419,1.05463128206067
0.42,1.05974645008642
0.421,1.08547061241943
0.422,1.0752949955366
0.423,1.09964378746757
0.424,1.07946699520766
0.425,1.08180747379957
0.426,1.06729225268618
0.427,1.09028456049773
0.428,1.07358786224577
0.429,1.05798473875428
0.43,1.05887143142266
0.431,1.0696106410657
0.432,1.0778600526013
