t,data
0,1.075
0.01,1.075
0.02,1.075
0.03,1.075
0.04,1.075
0.05,1.075
0.06,1.075
0.07,1.075
0.08,1.075
0.09,1.075
0.1,1.075
0.11,1.075
0.12,1.075
0.13,1.075
0.14,1.075
0.15,1.075
0.16,1.075
0.17,1.075
0.18,1.075
0.19,1.075
0.2,1.075
0.21,1.075
0.22,1.075
0.23,1.075
0.24,1.075
0.25,1.075
0.26,1.075
0.27,1.075
0.28,1.075
0.29,1.075
0.3,1.075
0.31,1.075
0.32,1.075
0.33,1.075
0.34,1.075
0.35,1.075
0.36,1.075
0.37,1.075
0.38,1.075
0.39,1.075
0.4,1.075
0.41,1.075
0.42,1.075
0.43,1.075
0.44,1.075
0.45,1.075
0.46,1.075
0.47,1.075
0.48,1.075
0.49,1.075
0.5,1.075
0.51,1.075
0.52,1.075
0.53,1.075
0.54,1.075
0.55,1.075
0.56,1.075
0.57,1.075
0.58,1.075
0.59,1.075
0.6,1.075
0.61,1.075
0.62,1.075
0.63,1.075
0.64,1.075
0.65,1.075
0.66,1.075
0.67,1.075
0.68,1.075
0.69,1.075
0.7,1.075
0.71,1.075
0.72,1.075
0.73,1.075
0.74,1.075
0.75,1.075
0.76,1.075
0.77,1.075
0.78,1.075
0.79,1.075
0.8,1.075
0.81,1.075
0.82,1.075
0.83,1.075
0.84,1.075
0.85,1.075
0.86,1.075
0.87,1.075
0.88,1.075
0.89,1.075
0.9,1.075
0.91,1.075
0.92,1.075
0.93,1.075
0.94,1.075
0.95,1.075
0.96,1.075
0.97,1.075
0.98,1.075
0.99,1.075
1,1.075
1.01,1.075
1.02,1.075
1.03,1.075
1.04,1.075
1.05,1.075
1.06,1.075
1.07,1.075
1.08,1.075
1.09,1.075
1.1,1.075
1.11,1.075
1.12,1.075
1.13,1.075
1.14,1.075
1.15,1.075
1.16,1.075
1.17,1.075
1.18,1.075
1.19,1.075
1.2,1.075
1.21,1.075
1.22,1.075
1.23,1.075
1.24,1.075
1.25,1.075
1.26,1.075
1.27,1.075
1.28,1.075
1.29,1.075
1.3,1.075
1.31,1.075
1.32,1.075
1.33,1.075
1.34,1.075
1.35,1.075
1.36,1.075
1.37,1.075
1.38,1.075
1.39,1.075
1.4,1.075
1.41,1.075
1.42,1.075
1.43,1.075
1.44,1.075
1.45,1.075
1.46,1.075
1.47,1.075
1.48,1.075
1.49,1.075
1.5,1.075
1.51,1.075
1.52,1.075
1.53,1.075
1.54,1.075
1.55,1.075
1.56,1.075
1.57,1.075
1.58,1.075
1.59,1.075
1.6,1.075
1.61,1.075
1.62,1.075
1.63,1.075
1.64,1.075
1.65,1.075
1.66,1.075
1.67,1.075
1.68,1.075
1.69,1.075
1.7,1.075
1.71,1.075
1.72,1.075
1.73,1.075
1.74,1.075
1.75,1.075
1.76,1.075
1.77,1.075
1.78,1.075
1.79,1.075
1.8,1.075
1.81,1.075
1.82,1.075
1.83,1.075
1.84,1.075
1.85,1.075
1.86,1.075
1.87,1.075
1.88,1.075
1.89,1.075
1.9,1.075
1.91,1.075
1.92,1.075
1.93,1.075
1.94,1.075
1.95,1.075
1.96,1.075
1.97,1.075
1.98,1.075
1.99,1.075
2,1.075
2.01,1.075
2.02,1.075
2.03,1.075
2.04,1.075
2.05,1.075
2.06,1.075
2.07,1.075
2.08,1.075
2.09,1.075
2.1,1.075
2.11,1.075
2.12,1.075
2.13,1.075
2.14,1.075
2.15,1.075
2.16,1.075
2.17,1.075
2.18,1.075
2.19,1.075
2.2,1.075
2.21,1.075
2.22,1.075
2.23,1.075
2.24,1.075
2.25,1.075
2.26,1.075
2.27,1.075
2.28,1.075
2.29,1.075
2.3,1.075
2.31,1.075
2.32,1.075
2.33,1.075
2.34,1.075
2.35,1.075
2.36,1.075
2.37,1.075
2.38,1.075
2.39,1.075
2.4,1.075
2.41,1.075
2.42,1.075
2.43,1.075
2.44,1.075
2.45,1.075
2.46,1.075
2.47,1.075
2.48,1.075
2.49,1.075
2.5,1.075
2.51,1.075
2.52,1.075
2.53,1.075
2.54,1.075
2.55,1.075
2.56,1.075
2.57,1.075
2.58,1.075
2.59,1.075
2.6,1.075
2.61,1.075
2.62,1.075
2.63,1.075
2.64,1.075
2.65,1.075
2.66,1.075
2.67,1.075
2.68,1.075
2.69,1.075
2.7,1.075
2.71,1.075
2.72,1.075
2.73,1.075
2.74,1.075
2.75,1.075
2.76,1.075
2.77,1.075
2.78,1.075
2.79,1.075
2.8,1.075
2.81,1.075
2.82,1.075
2.83,1.075
2.84,1.075
2.85,1.075
2.86,1.075
2.87,1.075
2.88,1.075
2.89,1.075
2.9,1.075
2.91,1.075
2.92,1.075
2.93,1.075
2.94,1.075
2.95,1.075
2.96,1.075
2.97,1.075
2.98,1.075
2.99,1.075
3,1.075
3.01,1.075
3.02,1.075
3.03,1.075
3.04,1.075
3.05,1.075
3.06,1.075
3.07,1.075
3.08,1.075
3.09,1.075
3.1,1.075
3.11,1.075
3.12,1.075
3.13,1.075
3.14,1.075
3.15,1.075
3.16,1.075
3.17,1.075
3.18,1.075
3.19,1.075
3.2,1.075
3.21,1.075
3.22,1.075
3.23,1.075
3.24,1.075
3.25,1.075
3.26,1.075
3.27,1.075
3.28,1.075
3.29,1.075
3.3,1.075
3.31,1.075
3.32,1.075
3.33,1.075
3.34,1.075
3.35,1.075
3.36,1.075
3.37,1.075
3.38,1.075
3.39,1.075
3.4,1.075
3.41,1.075
3.42,1.075
3.43,1.075
3.44,1.075
3.45,1.075
3.46,1.075
3.47,1.075
3.48,1.075
3.49,1.075
3.5,1.075
3.51,1.075
3.52,1.075
3.53,1.075
3.54,1.075
3.55,1.075
3.56,1.075
